county_id,county_name,enrollees,total_spend,hospital_snf,physician,outpatient,home_health,hospice,dme,state
49041,UT-Sevier County,2881,7736.3,3593.61,1700.16,1442.68,335.06,341.67,329.02,UT
49043,UT-Summit County,2259,8456.68,3439.65,1951.41,1805.13,662.27,481.26,163.18,UT
49045,UT-Tooele County,3299,9437.71,4358.54,2390.5,1547.6,530.43,372.09,252.88,UT
49047,UT-Uintah County,1917,6956.58,2911.08,1672.2,1470.64,291.72,379.59,222.17,UT
49049,UT-Utah County,19798,8893.86,3509.74,2409.62,1178.57,919.54,614.31,294.18,UT
49051,UT-Wasatch County,1360,7846.69,3014.29,1958.4,1690.62,487.94,511.95,196.68,UT
49053,UT-Washington County,16915,8304.13,3300.84,2333.44,1523.65,539.96,323.56,274.92,UT
49055,UT-Wayne County,433,7281.61,3131.38,1352.11,1368.32,408.34,576.44,462.64,UT
49057,UT-Weber County,15235,8669.08,3216.16,2516.93,1358.79,578.41,726.94,272.34,UT
50001,VT-Addison County,4711,8070.41,3277.98,1315.4,2339.35,639.79,399.52,120.66,VT
50003,VT-Bennington County,6193,8925.75,4043.45,1885.56,2215.59,469.03,153.24,183.12,VT
50005,VT-Caledonia County,4370,7241.24,2945.38,1049.53,2552.53,374.11,198.09,139.95,VT
50007,VT-Chittenden County,17027,7938.44,3570.64,1707.42,1975.48,335.4,218.8,141.94,VT
50009,VT-Essex County,1243,7196.72,3290.38,916.27,2285.83,466.9,96.23,141.46,VT
